datetime,date,time,price,volume
20220225 151516,20220225,151516,12.0,2
20220225 151619,20220225,151619,11.5,23
20220225 151619,20220225,151619,11.5,20
20220225 151619,20220225,151619,11.5,1
20220225 151619,20220225,151619,11.5,1
20220225 151619,20220225,151619,11.5,1
20220225 151619,20220225,151619,11.5,27
20220225 151619,20220225,151619,11.5,27
20220225 151659,20220225,151659,11.0,1
20220225 151659,20220225,151659,11.0,4
20220225 151659,20220225,151659,11.0,5
20220225 151706,20220225,151706,11.0,5
20220225 151706,20220225,151706,11.0,1
20220225 151706,20220225,151706,11.0,1
20220225 151706,20220225,151706,11.0,1
20220225 151706,20220225,151706,11.0,26
20220225 151706,20220225,151706,11.0,12
20220225 151706,20220225,151706,11.0,1
20220225 151706,20220225,151706,11.0,47
20220225 151706,20220225,151706,11.0,87
20220225 151706,20220225,151706,11.0,87
20220225 151706,20220225,151706,11.0,24
20220225 151706,20220225,151706,11.0,24
20220225 151706,20220225,151706,11.0,26
20220225 151706,20220225,151706,11.0,26
20220225 151710,20220225,151710,11.0,1
20220225 151710,20220225,151710,11.0,1
20220225 151721,20220225,151721,11.0,1
20220225 151721,20220225,151721,11.0,1
20220225 151722,20220225,151722,11.0,1
20220225 151722,20220225,151722,11.0,1
20220225 151727,20220225,151727,11.0,1
20220225 151727,20220225,151727,11.0,1
20220225 151738,20220225,151738,11.0,1
20220225 151738,20220225,151738,11.0,1
20220225 151739,20220225,151739,11.0,1
20220225 151739,20220225,151739,11.0,1
20220225 151747,20220225,151747,11.0,1
20220225 151747,20220225,151747,11.0,1
20220225 151802,20220225,151802,11.0,12
20220225 151802,20220225,151802,11.0,9
20220225 151802,20220225,151802,11.0,1
20220225 151802,20220225,151802,11.0,2
20220225 151812,20220225,151812,11.0,1
20220225 151812,20220225,151812,11.0,1
20220225 151822,20220225,151822,11.0,2
20220225 151822,20220225,151822,11.0,1
20220225 151822,20220225,151822,11.0,1
20220225 151827,20220225,151827,11.5,8
20220225 151827,20220225,151827,11.5,1
20220225 151827,20220225,151827,11.5,7
20220225 151915,20220225,151915,11.0,1
20220225 151915,20220225,151915,11.0,1
20220225 151929,20220225,151929,11.0,1
20220225 151929,20220225,151929,11.0,1
20220225 151930,20220225,151930,11.0,1
